a,b,c,d
1.523144510574638844e-01,9.131358838640153408e-01,-1.729088043794035912e-01,-4.984625875949859619e-01
2.012567525729537010e+00,-7.744686215883120894e-01,2.854082577687222511e-01,8.391010165214538574e-01
7.266261735931038857e-01,-5.572362896054983139e-01,1.958971274085342884e+00,1.148155980044975877e+00
-6.167346462607383728e-01,2.411883923923596740e-01,7.330389796989038587e-01,-1.931033949367702007e-01
1.070100413169711828e+00,-1.043044826015830040e+00,3.973988415673375130e-01,4.955745376646518707e-01
2.223886726424098015e-01,7.764882664196193218e-02,-1.392670604400336742e-01,4.238841924816370010e-01
-8.892680179560557008e-01,-1.530563850421458483e+00,-8.356462661176919937e-01,2.033390462747775018e-01
8.556343647651374340e-01,7.976801260374486446e-01,4.777342099696397781e-01,1.404606187716126442e-01
1.011509114963700995e+00,1.358426230959594250e+00,4.640634595416486263e-01,1.186797998379915953e+00
1.189469222910702229e+00,-9.689172171056270599e-02,1.020352583844214678e+00,9.017655649222433567e-02
-1.916370604885742068e+00,3.177890314720571041e+00,1.275473074638284743e-01,5.727031105197966099e-01
2.376026380807161331e-02,-1.714782827533781528e+00,5.302671827375888824e-01,1.909509483724832535e+00
-1.545693967025727034e+00,2.889539930038154125e-02,3.546000216156244278e-01,4.551017004996538162e-01
-1.351267294958233833e+00,1.188941821455955505e-01,-4.464868064969778061e-01,-7.318512157071381807e-01
3.073614574968814850e-01,-6.654260596260428429e-01,-8.795408774167299271e-01,-1.578257482498884201e+00
3.287170883268117905e-01,-2.035667151212692261e+00,6.432629078626632690e-01,-4.406101752538233995e-01
-1.523405792191624641e+00,2.102153436280786991e-01,-6.128742955625057220e-01,2.305143654346466064e+00
7.164347879588603973e-01,8.310258965939283371e-01,3.061418519355356693e-01,-3.846925860270857811e-01
7.676086504943668842e-02,-2.644270339515060186e-01,-7.666930030100047588e-01,4.832523164805024862e-02
1.638751338236033916e+00,-2.277043171925470233e-01,-4.399666928220540285e-01,-1.025577834341675043e+00
-1.532862749882042408e-01,-1.815777935553342104e-01,8.941243733279407024e-01,-9.706160528585314751e-01
4.569390341639518738e-01,1.262444241903722286e+00,4.413765640929341316e-01,-1.137718022800981998e+00
1.085507051087915897e+00,4.906809432432055473e-01,9.459847884718328714e-01,1.352048881817609072e+00
-6.351921963505446911e-01,9.934381674975156784e-01,-1.439659796655178070e+00,1.116107714362442493e+00
-1.781014166772365570e-02,-9.913169285282492638e-01,-9.349278593435883522e-01,-9.826475586742162704e-01
3.727291355608031154e-01,3.819803437218070030e-01,-2.778804374393075705e-01,-2.725614404189400375e-01
1.000031509669497609e+00,3.252893111202865839e-01,5.309591833502054214e-01,3.652500659227371216e-01
5.661665033549070358e-01,2.513827816583216190e+00,2.224432754330337048e+00,1.013358561322093010e-01
