a,b,c,d
-3.480794517890266615e-01,1.262815885440162988e+00,1.107947226710941591e+00,-1.419412952402363759e+00
2.368052400713381633e+00,-1.576500636403975197e-01,6.987364557774169982e-02,8.693267753590707692e-01
4.332991916200388816e-01,3.060764196126357639e-01,2.100194973012675437e+00,2.163689898407977485e-01
-1.200474798938502508e+00,-8.359691669111667112e-02,1.846591106575468377e-01,-1.104656864767489255e+00
6.151128248028133738e-01,-5.174040384914564417e-01,-6.061650898145592992e-01,6.919273485308108373e-01
8.357830223829849636e-01,4.092125899117925875e-02,-2.817173284033070435e-01,1.144913772914720518e+00
8.430506761955178230e-02,-5.895933221215786668e-01,-1.544057642117790508e+00,7.341020878242409536e-03
8.185262205808059299e-01,7.127958797890207032e-01,-3.062110076779904766e-01,-1.022284905806831734e+00
1.604770860464676652e+00,1.408169730849887946e+00,2.138468004309612702e+00,1.849251222092172409e+00
6.371455545010773491e-01,1.620814161196998837e+00,6.411582951960356214e-01,-3.570244510536608740e-01
-2.266668014941008114e+00,4.139289249544558236e-01,7.662317234536876465e-02,-2.549750158320302496e-01
-1.195020732154016940e+00,-9.891379625900932338e-01,-8.420956279920495113e-01,1.876752219511115038e+00
-5.500420313814412543e-01,-1.429783975300581433e-01,1.306100459591202023e+00,8.945715137149976570e-01
-1.368279204679571981e+00,-4.253431861815245019e-01,5.840484904206317829e-01,-1.027595397830009416e+00
1.334447143907132372e+00,-2.031030513670133431e-01,-2.018660098314285223e-01,-1.200043834810671672e+00
1.930509011641792672e+00,-9.223302151845849117e-01,2.797645822167396656e-01,-3.164863196404084089e-01
-5.261034063670946281e-01,-9.228944451912589608e-01,6.667307278384333458e-01,1.405192019628441757e+00
1.148408426927483683e+00,-2.219382672206215157e-01,1.609604665442653237e-01,-9.852165825988935810e-02
4.993250224901282230e-01,1.781830546648605906e-01,-1.001151272524958058e+00,-6.300355591203855854e-02
1.484095693152883699e+00,-1.227387601914613074e-01,-1.896732749822347130e-01,-1.108187993065170573e+00
-9.092544809631679659e-01,4.159591343091881832e-01,-9.518116971720820205e-03,-1.009192684033642706e+00
5.034896518873132054e-01,5.712663597386816727e-01,6.376270520946253351e-01,-1.715449053049087569e+00
9.950000488239786334e-01,-9.482674515765646683e-01,3.606284860521554725e-01,1.759835984655048646e+00
-1.407013190570084893e+00,-6.487258646799169970e-01,-4.977770371929459148e-01,1.746375148192695903e+00
6.973841947057972668e-01,-3.898214801498081639e-02,-5.097049643164095478e-01,-1.319438022893408169e+00
-1.924626836958138673e-02,1.060491809637650107e+00,-9.120964833089838242e-02,1.920816699447839282e-01
-1.651387748510941278e-01,1.488882669547329840e+00,-5.217086766077124738e-01,1.526534027120341364e+00
2.139333198899808330e+00,2.021598373288693740e+00,2.444155093897943942e+00,1.146521335062773428e+00
