"taxon","median","lower","upper","true"
"Agathobacter",0.201411560935274,0.0440243531390072,0.349850466037131,0.296871914304566
"Agathobaculum",0.0694767186184871,-0.121997491904397,0.233978451292961,0.0464495374151713
"Akkermansia",0.0784981895271986,-0.0793406483865643,0.239606654325032,0.16230637652648
"Alistipes",0.401676882027462,0.255281591500366,0.541881060771383,0.543776284265692
"Anaerobutyricum",-0.00294964384563145,-0.189668918469141,0.165163970516604,0.0329786526459226
"Anaerostipes",0.268943878994554,0.109284424263641,0.411833094976988,0.370109295385023
"Bacteroides",0.228345435656509,0.0650295095248676,0.372464683715123,0.337838167493076
"Barnesiella",0.196003298430854,0.016370950636662,0.352142767430251,0.327475107049927
"Bifidobacterium",0.128439981579909,-0.0469821327946041,0.280790622780911,0.198449159601082
"Bilophila",0.203070065062532,0.00476197060516567,0.364737123902115,0.329687436800785
"Blautia",0.284338057392797,0.126226912525425,0.432764461316222,0.371344838576776
"Clostridium_IV",0.273964674170528,0.0992851388780181,0.423503742453709,0.398341196958524
"Coprobacter",0.134797314770854,-0.0695044522308875,0.308669891928401,0.28162009990138
"Coprococcus",0.16646038301439,0.00178706797563951,0.321276774273247,0.267988503782261
"Desulfovibrio",0.136104736249749,-0.0457330690808158,0.301868211537355,0.257631269565573
"Dorea",0.149423336654661,-0.0266538299892134,0.312943116554866,0.227967223676303
"Dysosmobacter",0.395641381893608,0.240172538462924,0.535516672244171,0.580741018267325
"Escherichia/Shigella",0.0650886678713196,-0.126247012609784,0.238713812883926,0.15426820788111
"Faecalibacterium",0.137195007359807,-0.081562342804224,0.338024802165066,0.309861874161704
"Fusicatenibacter",0.235952167400621,0.0821876486520944,0.386517432756129,0.341705900487713
"Gemmiger",0.185376320460529,0.012703972761878,0.350668940959773,0.253005022443664
"Hungatella",0.221142701285689,0.0641382645356476,0.363209725471852,0.300233630024565
"Ihubacter",0.0467645421589805,-0.147647586088199,0.232054696351116,0.14806957974137
"Mediterraneibacter",0.225801401593423,0.0615640680030714,0.367346474004274,0.319956194419257
"Methanobrevibacter",0.0766560249091264,-0.11325572736706,0.251666127584632,0.1763898573495
"Monoglobus",0.281787912799093,0.116196215056893,0.425530784325315,0.385257891821759
"Neglecta",0.334908302190484,0.185389377286968,0.472511140874573,0.465788509482401
"Oscillibacter",1,1,1,1
"Parabacteroides",0.35060168198525,0.185676029448146,0.498715445083651,0.549398301792873
"Parasutterella",0.214732888156959,0.0320893721270886,0.377075257818478,0.329774429934347
"Phascolarctobacterium",0.194239956999141,0.0387707189777588,0.336804155319734,0.304765965510484
"Phocaeicola",0.214969519742973,0.055944334709288,0.373253657923746,0.27607648641232
"Prevotella",0.0563308944468105,-0.116075594330606,0.205332917922816,0.0214327319422635
"Roseburia",0.1956583285056,0.0385638632017152,0.338133183525283,0.260243054852355
"Ruminococcus",0.337471191494536,0.188200451270298,0.477520300500198,0.472361529527219
"Ruminococcus2",0.170400842720294,-0.0217613106105065,0.336413385940206,0.319422862762937
"Streptococcus",0.223040333187047,0.0489619656293309,0.388002405059578,0.357888441539861
"Sutterella",0.0894381330201871,-0.0862555704879736,0.240787391284707,0.136184423127816
"unclassified",0.190397128206635,0.00287330295506954,0.380956562170986,0.31890295722664
"other",0.15035665386004,-0.0174944095799248,0.323022670441945,0.253107688712616
