"taxon","median","lower","upper","true"
"Agathobacter",-0.000960532232231551,-0.148481054464965,0.144634038274489,-0.0470136393704767
"Agathobaculum",0.194775860520554,0.0405669837667126,0.353682411774648,0.103199503246644
"Akkermansia",-0.0787576085024407,-0.241403208004207,0.065550462923733,-0.179732208706893
"Alistipes",0.0544340098544425,-0.092492565155672,0.194261277374693,0.0211221598236883
"Anaerobutyricum",-0.0574228961263494,-0.215952483560013,0.100469985730464,-0.162243116194126
"Anaerostipes",0.105898185472341,-0.0374000965435384,0.246314477755748,0.0701380732103134
"Bacteroides",0.0164058605771693,-0.130319333183992,0.153449506457072,-0.0478249874674555
"Barnesiella",0.0427512740191562,-0.128369068431238,0.207236248359629,-0.0235583995759509
"Bifidobacterium",-0.0296939284346701,-0.190142566491611,0.122483713201015,-0.125674760904423
"Bilophila",0.0456843725629007,-0.140302164412322,0.219157826154192,-0.0588151682161381
"Blautia",-0.00456975540172552,-0.142891291347235,0.143020425130668,-0.0816064646494989
"Clostridium_IV",0.0220042084954136,-0.159716268251451,0.185301201811794,-0.0591756618674442
"Coprobacter",-0.0413319749063221,-0.236391411220704,0.141481951260114,-0.160641542114217
"Coprococcus",0.169610262933396,0.0205684660130085,0.308658414506615,0.129257517097384
"Desulfovibrio",-0.0411782994195854,-0.216820223930024,0.129956919344182,-0.1469251459298
"Dorea",0.127592256660772,-0.0110012312762334,0.265392104521977,0.0726152773773378
"Dysosmobacter",-0.0778462025515009,-0.258431557357322,0.0956202766879093,-0.131860184145389
"Escherichia/Shigella",-0.119475993221874,-0.314636260925929,0.0632976504321104,-0.252439883484566
"Faecalibacterium",0.0140220896715183,-0.17906862567007,0.197409320535526,-0.0519357711425558
"Fusicatenibacter",0.031355359011595,-0.110007879915128,0.175359107175242,-0.00231399432190282
"Gemmiger",0.297939774985852,0.139560528369577,0.433976556813685,0.228897330524576
"Hungatella",0.240667745039786,0.0977461658653127,0.372148521638815,0.214428185656963
"Ihubacter",0.0662632120397765,-0.123148489597939,0.241942460814043,-0.039073410439501
"Mediterraneibacter",0.16916099286965,0.0223218658705276,0.304635378480684,0.135904679896153
"Methanobrevibacter",0.119987014158543,-0.0428614162836693,0.283125721005314,0.0642790713962189
"Monoglobus",0.159073456516537,-0.000199349812556051,0.298927903168118,0.0981604685351221
"Neglecta",0.0880726671066081,-0.0673279302226138,0.238180940532672,0.0318831689352983
"Oscillibacter",0.0563308944468105,-0.116075594330606,0.205332917922816,0.0214327319422635
"Parabacteroides",0.190739051576288,0.0304144152440091,0.345878285262565,0.20363880449464
"Parasutterella",0.0306331887135513,-0.147586642052345,0.193254938503945,-0.0817053642945612
"Phascolarctobacterium",-0.166064394294323,-0.323735930379183,-0.0139166996057318,-0.249354418843838
"Phocaeicola",0.0262021539032762,-0.111978121488691,0.161551953166726,-0.0772829558157941
"Prevotella",1,1,1,1
"Roseburia",0.157849162356822,0.0304153530896241,0.286323579068488,0.119227930291026
"Ruminococcus",-0.0367367847113851,-0.176967726946511,0.107159454931781,-0.0397919207190858
"Ruminococcus2",0.0313080323526801,-0.145311580852014,0.192987943452595,-0.0101278795756021
"Streptococcus",0.0794167609451653,-0.098807047386646,0.251460438579975,0.0291703871927928
"Sutterella",0.141051921167167,0.00626767324277783,0.271399184350659,0.0772928677043146
"unclassified",0.0876760858804148,-0.0810039791287664,0.254374959018267,-0.0302260597975298
"other",0.259963355017764,0.118169749418686,0.398814324253498,0.175703542163989
