"taxon","median","lower","upper","true"
"Agathobacter",0.100893494046501,-0.042997052001785,0.245468381570089,0.296871914304566
"Agathobaculum",-0.128204311560799,-0.290545365434507,0.0393003824300602,0.0464495374151713
"Akkermansia",-0.127963653907148,-0.278894628890974,0.0357965424310836,0.16230637652648
"Alistipes",0.228215394276553,0.0783734740741541,0.382870583243553,0.543776284265692
"Anaerobutyricum",-0.167501435443349,-0.318059247675247,-0.00430042259414732,0.0329786526459226
"Anaerostipes",0.0434570396670942,-0.109495368932838,0.194814697899305,0.370109295385023
"Bacteroides",-0.0380031137595057,-0.178148280189407,0.137252249312799,0.337838167493076
"Barnesiella",-0.00516111458085296,-0.166252191686678,0.154856404422418,0.327475107049927
"Bifidobacterium",-0.0987316827745594,-0.240680478698507,0.0477900671701509,0.198449159601082
"Bilophila",0.0270378622806378,-0.158728476331963,0.204106382145625,0.329687436800785
"Blautia",0.0596200206572021,-0.08330686063595,0.231062393362818,0.371344838576776
"Clostridium_IV",0.0684904585421849,-0.0963865546639105,0.230008224374267,0.398341196958524
"Coprobacter",-0.048800782560529,-0.206643493502479,0.126941385569204,0.28162009990138
"Coprococcus",-0.0753011318265958,-0.223375582445157,0.0940544402305053,0.267988503782261
"Desulfovibrio",-0.0348529026571777,-0.204382458692255,0.139624257557606,0.257631269565573
"Dorea",-0.0760509109113784,-0.206641345623486,0.0807832745963512,0.227967223676303
"Dysosmobacter",0.230441690236614,0.0757114088455011,0.387226756080212,0.580741018267325
"Escherichia/Shigella",-0.0669891923596885,-0.223738022091099,0.0933198211552706,0.15426820788111
"Faecalibacterium",-0.171752655783534,-0.309706937223977,-0.00527100203621185,0.309861874161704
"Fusicatenibacter",-0.0341288516899538,-0.176856465095469,0.133211343472157,0.341705900487713
"Gemmiger",-0.0135128960036189,-0.157370739303709,0.160962020921558,0.253005022443664
"Hungatella",0.023483631705175,-0.120615620041391,0.183373048753489,0.300233630024565
"Ihubacter",-0.175618412750351,-0.33163380793275,0.00302722213330481,0.14806957974137
"Mediterraneibacter",0.0281909509879412,-0.109948820472937,0.184331273399916,0.319956194419257
"Methanobrevibacter",-0.119110138265642,-0.2824154453305,0.0524464996458642,0.1763898573495
"Monoglobus",0.0314975851969618,-0.119384827797608,0.206614519665529,0.385257891821759
"Neglecta",0.0940863834964774,-0.0488720909982126,0.250627628660009,0.465788509482401
"Oscillibacter",1,1,1,1
"Parabacteroides",0.156688840354152,0.00496861702816103,0.324616744272491,0.549398301792873
"Parasutterella",0.0217892395498665,-0.139033253696843,0.207468597331107,0.329774429934347
"Phascolarctobacterium",0.123966562382625,-0.0312144278700305,0.264821710308697,0.304765965510484
"Phocaeicola",0.00459474676549034,-0.138115598277206,0.174803873647529,0.27607648641232
"Prevotella",-0.0615383474666705,-0.197090269396981,0.0900326300007978,0.0214327319422635
"Roseburia",0.0461306857854502,-0.0932626250344551,0.204773296858796,0.260243054852355
"Ruminococcus",0.106997154134522,-0.0350279235243993,0.275145803728565,0.472361529527219
"Ruminococcus2",0.000655443017803083,-0.155127267194044,0.16189242684708,0.319422862762937
"Streptococcus",0.0486885750924076,-0.107173625034771,0.215185219501302,0.357888441539861
"Sutterella",-0.0232968322607803,-0.168210743982461,0.125781442573167,0.136184423127816
"unclassified",-0.135339897726186,-0.279455483468374,0.0510347568755902,0.31890295722664
"other",-0.0938817132793411,-0.226572123436887,0.0697719072102441,0.253107688712616
