"taxon","median","lower","upper","true"
"Agathobacter",-0.012646094892918,-0.119651136315513,0.106088846409807,-0.0470136393704767
"Agathobaculum",0.167089689155283,0.0282910690349809,0.309298931475344,0.103199503246644
"Akkermansia",-0.151777310499732,-0.274885022679329,0.00190728739836935,-0.179732208706893
"Alistipes",-0.0361495702925742,-0.148747549242249,0.0801160465143382,0.0211221598236883
"Anaerobutyricum",-0.0813786577696393,-0.203182289192819,0.0549177719690997,-0.162243116194126
"Anaerostipes",0.00944324475486307,-0.113157285250393,0.139986860525746,0.0701380732103134
"Bacteroides",-0.10929490119827,-0.216228300095883,0.0195327657416645,-0.0478249874674555
"Barnesiella",-0.02315050606124,-0.172571119314757,0.124676669651293,-0.0235583995759509
"Bifidobacterium",-0.127799023384466,-0.249389248918633,0.00755331785375068,-0.125674760904423
"Bilophila",-0.00092219831924383,-0.158359626261515,0.165406603920008,-0.0588151682161381
"Blautia",-0.0970987868690432,-0.185857416634145,0.0206329054750433,-0.0816064646494989
"Clostridium_IV",-0.0682533192065528,-0.211921880430874,0.0964396656532154,-0.0591756618674442
"Coprobacter",-0.0701153396543838,-0.233013828439005,0.0895406802793169,-0.160641542114217
"Coprococcus",0.107374741378546,-0.0134133177742197,0.238250567318684,0.129257517097384
"Desulfovibrio",-0.0738796837392214,-0.218825915985056,0.0786053808110391,-0.1469251459298
"Dorea",0.077745061245392,-0.0172618681249019,0.19744001317094,0.0726152773773378
"Dysosmobacter",-0.16205769468347,-0.305192167726743,-0.003586059526046,-0.131860184145389
"Escherichia/Shigella",-0.113655264565309,-0.258550394332054,0.0383957005124018,-0.252439883484566
"Faecalibacterium",0.0265695135666699,-0.0607879785161851,0.107371694735241,-0.0519357711425558
"Fusicatenibacter",-0.097170915839423,-0.196091276550275,0.0275672018799586,-0.00231399432190282
"Gemmiger",0.279148629593221,0.167551971714589,0.393591566786712,0.228897330524576
"Hungatella",0.184473588251912,0.0644151438779758,0.298540161585751,0.214428185656963
"Ihubacter",0.0323268628840264,-0.132437594562724,0.201066800362612,-0.039073410439501
"Mediterraneibacter",0.104059968460451,-0.0159497872806627,0.229262023263824,0.135904679896153
"Methanobrevibacter",0.0833404250659974,-0.0620262269789038,0.229356718553707,0.0642790713962189
"Monoglobus",0.0594512650912699,-0.0773422253699558,0.201107918710739,0.0981604685351221
"Neglecta",-0.0455707555953925,-0.189912266445771,0.10929211622442,0.0318831689352983
"Oscillibacter",-0.0615383474666705,-0.197090269396981,0.0900326300007978,0.0214327319422635
"Parabacteroides",0.119102934230636,-0.0294305689168775,0.279628384162935,0.20363880449464
"Parasutterella",-0.0299946213140404,-0.185988363221381,0.13395779861709,-0.0817053642945612
"Phascolarctobacterium",-0.151315266130059,-0.260111890966291,-0.0219410130745179,-0.249354418843838
"Phocaeicola",-0.0569407249133108,-0.148859788223621,0.0628073970222357,-0.0772829558157941
"Prevotella",1,1,1,1
"Roseburia",0.126348445024266,0.028392115184293,0.235456364950916,0.119227930291026
"Ruminococcus",-0.163012031639226,-0.250062622824051,-0.0455692536721278,-0.0397919207190858
"Ruminococcus2",-0.00544582532395076,-0.147855411201929,0.144105657665749,-0.0101278795756021
"Streptococcus",0.0373002443596248,-0.11410791050125,0.189058349208032,0.0291703871927928
"Sutterella",0.140038044188672,0.0273405038162725,0.259534044141581,0.0772928677043146
"unclassified",0.0468125828283725,-0.0369894541378126,0.155274441739952,-0.0302260597975298
"other",0.241735632326958,0.138664842132405,0.343178537945204,0.175703542163989
